domain,condition,model_seed,arm,evaluation_version,horizon,first_failures,failure_probability,survival_probability,failure_upper_bound,survival_lower_bound,family_size
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,128,512,1.0,0.0,1.0,0.0,875
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,256,512,1.0,0.0,1.0,0.0,875
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,512,512,1.0,0.0,1.0,0.0,875
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,1024,512,1.0,0.0,1.0,0.0,875
toy,s4_signed_lattice,,UNIFORM_2,v1-unchanged-finite-nonstochastic,2048,512,1.0,0.0,1.0,0.0,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_3,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_4,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,32,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,64,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,128,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,256,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,512,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,1024,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
toy,s4_signed_lattice,,UNIFORM_5,v1-unchanged-finite-nonstochastic,2048,0,0.0,1.0,0.018901037818839048,0.981098962181161,875
